module	name	heures	cm	td	tp
2101	Anglais	30	0	15	15
2102	LV2	20	0	10	10
2103	Théories de l'information et de la com.	40	15	15	10
2104	Esthétique et expression artistique	25	5	10	10
2105	Ecriture pour les médias numériques	25	5	10	10
2106	Communication expression écrite et orale	30	0	15	15
2107	Gestion de projet	30	5	10	15
2108	PPP	20	0	10	10
2109	Environnement juridique, éco, mercatique	35	10	15	10
2110	Projet tutoré	0	0	0	0
2201	Culture scientifique et traitement de l'info.	45	15	15	15
2202	Algorithmique et développement web	45	10	15	20
2203	Bases de données	30	5	10	15
2204	Services sur réseaux	30	5	5	20
2205	Infographie	30	5	5	20
2206	Intégration web	45	10	10	25
2207	Production audiovisuelle	30	5	5	20
2208	Projet tutoré	0	0	0	0
